City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
216,mount isa,-20.7333,139.5,76.77,41,23,4.61,AU,Sun Aug  4 21:36:16 2024
217,sao gabriel da cachoeira,-0.1303,-67.0892,74.48,90,56,0.98,BR,Sun Aug  4 21:36:17 2024
218,ulanhot,46.0833,122.0833,80.96,54,100,14.18,CN,Sun Aug  4 21:36:19 2024
219,humaita,-7.5061,-63.0208,79.29,44,3,2.73,BR,Sun Aug  4 21:36:20 2024
220,bengkulu,-3.8004,102.2655,79.27,83,26,8.08,ID,Sun Aug  4 21:36:21 2024
221,khanty-mansiysk,61.0042,69.0019,62.71,100,100,0.0,RU,Sun Aug  4 21:36:23 2024
222,berdigestyakh,62.0989,126.6992,58.32,65,100,6.22,RU,Sun Aug  4 21:36:24 2024
223,pottsville,40.6857,-76.1955,77.95,93,8,1.72,US,Sun Aug  4 21:36:26 2024
224,vorgashor,67.5833,63.95,50.52,58,50,12.3,RU,Sun Aug  4 21:36:27 2024
225,drawsko pomorskie,53.5306,15.8097,60.39,93,100,9.4,PL,Sun Aug  4 21:34:18 2024
226,hamilton,39.1834,-84.5333,81.88,74,20,4.61,US,Sun Aug  4 21:36:30 2024
227,kuruman,-27.4524,23.4325,37.99,89,100,9.86,ZA,Sun Aug  4 21:34:13 2024
228,hami,42.8,93.45,90.54,16,99,8.88,CN,Sun Aug  4 21:36:33 2024
229,mezhdurechensk,53.6942,88.0603,67.59,84,54,1.9,RU,Sun Aug  4 21:36:34 2024
230,kyaikto,17.3,97.0167,77.29,92,100,3.31,MM,Sun Aug  4 21:36:36 2024
231,kone,-21.0595,164.8658,77.47,40,0,10.89,NC,Sun Aug  4 21:36:37 2024
232,rye,40.9807,-73.6837,75.78,84,75,4.61,US,Sun Aug  4 21:31:23 2024
233,lompoc,34.6391,-120.4579,65.84,82,0,11.5,US,Sun Aug  4 21:36:40 2024
234,bernardo de irigoyen,-26.2552,-53.6458,64.76,67,55,4.45,AR,Sun Aug  4 21:36:42 2024
235,palikir - national government center,6.9248,158.1611,86.85,74,100,12.66,FM,Sun Aug  4 21:36:43 2024
236,peniche,39.3558,-9.3811,68.2,92,2,15.82,PT,Sun Aug  4 21:36:44 2024
237,bardai,11.65,7.2333,69.78,92,93,9.48,NG,Sun Aug  4 21:36:48 2024
238,mont-dore,-22.2833,166.5833,73.99,99,8,12.44,NC,Sun Aug  4 21:36:49 2024
239,baiyin,36.5583,104.2081,79.52,36,93,4.38,CN,Sun Aug  4 21:36:51 2024
240,erdenet,49.0333,104.0833,64.31,80,95,4.83,MN,Sun Aug  4 21:36:52 2024
241,ormara,25.2088,64.6357,81.43,83,100,9.71,PK,Sun Aug  4 21:36:53 2024
242,pisco,-13.7,-76.2167,60.85,88,0,6.91,PE,Sun Aug  4 21:34:03 2024
243,wenshang,35.7275,116.4961,85.75,75,93,5.03,CN,Sun Aug  4 21:36:57 2024
244,rongelap,11.1635,166.8941,83.86,78,57,14.07,MH,Sun Aug  4 21:36:58 2024
245,ta`u,-14.2336,-169.5144,80.56,63,100,4.74,AS,Sun Aug  4 21:36:59 2024
246,sagua de tanamo,20.5819,-75.2414,78.04,94,100,4.18,CU,Sun Aug  4 21:37:01 2024
247,kaa-khem,51.6833,94.7333,69.66,68,2,3.42,RU,Sun Aug  4 21:37:02 2024
248,la passe,45.5549,-0.8967,66.43,91,0,5.79,FR,Sun Aug  4 21:37:03 2024
249,bijar,35.8668,47.6051,63.73,58,0,6.04,IR,Sun Aug  4 21:37:05 2024
250,riachao,-7.3619,-46.6172,70.74,35,6,5.35,BR,Sun Aug  4 21:37:06 2024
251,groningen,53.25,6.75,62.02,87,100,2.3,NL,Sun Aug  4 21:36:56 2024
252,butembo,0.15,29.2833,57.36,93,20,2.46,CD,Sun Aug  4 21:37:09 2024
253,san juan de miraflores,-12.1629,-76.9635,62.17,85,68,12.21,PE,Sun Aug  4 21:37:11 2024
254,sitka,57.0531,-135.33,78.69,38,0,6.91,US,Sun Aug  4 21:37:12 2024
255,puerto ayora,-0.7393,-90.3518,67.55,94,44,1.01,EC,Sun Aug  4 21:37:14 2024
256,tucuma,-0.1833,-50.05,78.57,82,66,8.48,BR,Sun Aug  4 21:37:15 2024
257,paita,-5.0892,-81.1144,64.56,82,10,14.61,PE,Sun Aug  4 21:37:16 2024
258,broken hill,-31.95,141.4333,52.74,77,99,9.28,AU,Sun Aug  4 21:37:18 2024
259,kavaratti,10.5669,72.642,81.9,82,88,11.1,IN,Sun Aug  4 21:37:19 2024
260,urucui,-7.2294,-44.5561,72.48,45,3,4.99,BR,Sun Aug  4 21:37:21 2024
261,badger,64.8,-147.5333,75.97,50,0,6.91,US,Sun Aug  4 21:37:22 2024
262,bandarbeyla,9.4942,50.8122,76.71,76,100,26.84,SO,Sun Aug  4 21:37:23 2024
263,feicheng,35.2606,117.9675,89.71,73,98,8.39,CN,Sun Aug  4 21:37:25 2024
264,santa marta,11.2408,-74.199,84.25,79,20,3.44,CO,Sun Aug  4 21:32:29 2024
265,boa vista,2.8197,-60.6733,78.78,89,75,5.75,BR,Sun Aug  4 21:37:28 2024
266,santa ana,33.7456,-117.8678,97.25,42,40,9.22,US,Sun Aug  4 21:37:30 2024
267,kiama,-34.6833,150.8667,59.58,73,100,1.99,AU,Sun Aug  4 21:37:31 2024
268,iguai,-14.7564,-40.0892,62.8,95,20,1.92,BR,Sun Aug  4 21:37:33 2024
269,sovetskiy,61.3614,63.5842,60.82,90,96,1.5,RU,Sun Aug  4 21:37:34 2024
270,kabompo,-13.5927,24.2008,55.22,33,0,4.05,ZM,Sun Aug  4 21:34:14 2024
